Index,Title,Description,Year,Movie Suitability,Category,Minutes,Rating,Votes,Director,Stars,Gross
185,Hacksaw Ridge,"
    World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",2016,R,"
Biography, Drama, History            ",139 min,8.1,"448,514",Mel Gibson,"['Andrew Garfield', 'Sam Worthington', 'Luke Bracey', 'Teresa Palmer']",$67.21M
186,Inside Out,"
    After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",I 2015,PG,"
Animation, Adventure, Comedy            ",95 min,8.1,"630,957",Pete Docter,"['Amy Poehler', 'Bill Hader', 'Lewis Black', 'Mindy Kaling']",$356.46M
187,12 Years a Slave,"
    In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",2013,R,"
Biography, Drama, History            ",134 min,8.1,"651,006",Steve McQueen,"['Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender', 'Brad Pitt']",$56.67M
188,Rush,"
    The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.",I 2013,R,"
Action, Biography, Drama            ",123 min,8.1,"440,975",Ron Howard,"['Daniel Brühl', 'Chris Hemsworth', 'Olivia Wilde', 'Alexandra Maria Lara']",$26.95M
189,Ford v Ferrari,"
    American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.",2019,PG-13,"
Action, Biography, Drama            ",152 min,8.1,"310,471",James Mangold,"['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitriona Balfe']",$117.62M
190,Spotlight,"
    The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",I 2015,R,"
Biography, Crime, Drama            ",129 min,8.1,"429,483",Tom McCarthy,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber']",$45.06M
191,Prisoners,"
    When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",2013,R,"
Crime, Drama, Mystery            ",153 min,8.1,"614,940",Denis Villeneuve,"['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis', 'Melissa Leo']",$61.00M
192,Mad Max: Fury Road,"
    In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",2015,R,"
Action, Adventure, Sci-Fi            ",120 min,8.1,"899,312",George Miller,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Zoë Kravitz']",$154.06M
193,Gran Torino,"
    Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",2008,R,"
Drama            ",116 min,8.1,"728,781",Clint Eastwood,"['Clint Eastwood', 'Bee Vang', 'Christopher Carley', 'Ahney Her']",$148.10M
194,Harry Potter and the Deathly Hallows: Part 2,"
    Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",2011,PG-13,"
Adventure, Drama, Fantasy            ",130 min,8.1,"779,826",David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Michael Gambon']",$381.01M
195,Hachi: A Dog's Tale,"
    A college professor bonds with an abandoned dog he takes into his home.",2009,G,"
Biography, Drama, Family            ",93 min,8.1,"258,745",Lasse Hallström,"['Richard Gere', 'Joan Allen', 'Cary-Hiroyuki Tagawa', 'Sarah Roemer']","258,745"
196,Mary and Max,"
    A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",2009,Not Rated,"
Animation, Comedy, Drama            ",92 min,8.1,"166,724",Adam Elliot,"['Toni Collette', 'Philip Seymour Hoffman', 'Eric Bana', 'Barry Humphries']","166,724"
197,How to Train Your Dragon,"
    A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",2010,PG,"
Animation, Action, Adventure            ",98 min,8.1,"677,083",Dean DeBlois,"['Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse', 'Craig Ferguson']",$217.58M
198,Into the Wild,"
    After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",2007,R,"
Adventure, Biography, Drama            ",148 min,8.1,"582,291",Sean Penn,"['Emile Hirsch', 'Vince Vaughn', 'Catherine Keener', 'Marcia Gay Harden']",$18.35M
199,No Country for Old Men,"
    Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.",2007,R,"
Crime, Drama, Thriller            ",122 min,8.1,"874,102",Ethan Coen,"['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin', 'Woody Harrelson']",$74.28M
200,Rang De Basanti,"
    The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",2006,Not Rated,"
Comedy, Crime, Drama            ",167 min,8.1,"113,646",Rakeysh Omprakash Mehra,"['Aamir Khan', 'Soha Ali Khan', 'Siddharth', 'Sharman Joshi']",$2.20M
